period,compound_score,topic
2016-10,-0.014263830047753154,inflation
2016-11,0.01827747080033283,inflation
2016-12,0.006713001031827922,inflation
2017-01,0.010988802577569845,inflation
2017-02,0.010884525907045963,inflation
2017-03,0.012625920488076061,inflation
2017-04,0.01685192917158019,inflation
2017-05,0.01134242472091077,inflation
2017-06,-0.0055951950730616165,inflation
2017-07,-0.00912751785112092,inflation
2017-08,-0.017693812772408564,inflation
2017-09,0.004567595028708482,inflation
2017-10,0.015179359986124361,inflation
2017-11,0.010083312919580149,inflation
2017-12,0.0313949293408143,inflation
2018-01,0.029132374941561474,inflation
2018-02,0.01583002082870767,inflation
2018-03,0.030816743252595157,inflation
2018-04,0.029258328279120248,inflation
2018-05,0.019616160193484136,inflation
2018-06,0.030390667365855915,inflation
2018-07,0.029045541958041956,inflation
2018-08,0.02472767969593379,inflation
2018-09,0.018686367264460723,inflation
2018-10,0.019044180657365805,inflation
2018-11,0.03210441603047927,inflation
2018-12,0.026276227912219834,inflation
2019-01,0.028709626892170916,inflation
2019-02,0.041330809150603685,inflation
2019-03,0.03613703143175195,inflation
2019-04,0.02832966015662767,inflation
2019-05,0.018030761597618458,inflation
2019-06,0.02965754859767573,inflation
2019-07,0.05572977223181034,inflation
2019-08,0.01771409279596448,inflation
2019-09,0.023442042518798622,inflation
2019-10,0.02661618613495903,inflation
2019-11,0.03508722014308573,inflation
2019-12,0.024206139797725013,inflation
2020-01,0.030793481206761286,inflation
2020-02,0.04600812784340712,inflation
2020-03,0.00962390905255476,inflation
2020-04,0.009363546185144086,inflation
2020-05,0.013055294404594285,inflation
2020-06,0.01097880017218664,inflation
2020-07,0.026788967048427162,inflation
2020-08,0.03773309782876274,inflation
2020-09,0.028392722602739725,inflation
2020-10,0.039587375140135946,inflation
2020-11,0.037730763961727,inflation
2020-12,0.0429138851751766,inflation
2021-01,0.05126113958188201,inflation
2021-02,0.032914690235730674,inflation
2021-03,0.035110896484404484,inflation
2021-04,0.04691332793731991,inflation
2021-05,0.0007800133053462258,inflation
2021-06,0.014090213689076312,inflation
2021-07,0.0058596053981470105,inflation
2021-08,-0.013177730549306982,inflation
2021-09,-0.015720334309765615,inflation
2021-10,-0.02161784555466022,inflation
2021-11,-0.007520190991854526,inflation
2021-12,-0.014265385332288324,inflation
2022-01,-0.02119862492927084,inflation
2022-02,-0.03309701283977504,inflation
2022-03,-0.0546857212797962,inflation
2022-04,-0.04472056323166229,inflation
2022-05,-0.05500843577447532,inflation
2022-06,-0.06792430564955854,inflation
2022-07,-0.051699319201202645,inflation
2022-08,-0.02371079978306053,inflation
2022-09,-0.05246098130900486,inflation
2022-10,-0.06028198105500062,inflation
